County,,Any modern method,Female sterilization,Male Sterilization,IUD,Injectables,Implants,Pills,Male condom,Female condom,Emergency contraception,SDM,LAM,,,,Withdrawal,,Not currently using,,Number of women
Mombasa,,42.1,0.8,0,3.7,16.6,14.3,3.8,1.7,0,0.2,0.6,0.3,,,,1.8,,53.3,,546
Kwale,,34.6,0.8,0,2.8,18.2,9.6,2.3,0.3,0,0,0.1,0.5,,,,0,,65.4,,302
Kilifi,,44.7,1.6,0,2.1,17.4,17.8,3.7,0.1,0,0,1.6,0.4,,,,1.3,,51.4,,483
Tana River,,23.2,0.5,0,1,13.1,5.1,1.1,0.5,0,0.8,0,1.2,,,,0.9,,75.2,,107
Lamu,,39.2,0.5,0.4,1.1,13.7,10.5,5.6,1.1,0,0,2.8,3.4,,,,1.3,,57.6,,59
Taita/Taveta,,64.5,2.8,0,4.2,29.3,15.4,7.3,1.8,0,0.2,2.5,0.8,,,,0.5,,32.5,,130
Garissa,,11.1,1.4,0,0.2,4.3,3.5,1.1,0.1,0,0,0,0.5,,,,0.2,,87.3,,170
Wajir,,2.8,0.1,0,0.2,0.9,0.8,0.8,0,0,0,0,0,,,,0,,97,,92
Mandera,,1.8,0,0,0,0.6,0.2,0.3,0,0,0,0,0.8,,,,0,,97.9,,138
Marsabit,,5.6,0.4,0,0,2.5,2.6,0.1,0,0,0,0,0,,,,0.2,,94.1,,94
Isiolo,,28.7,0.8,0,1.4,15.8,4.4,5.1,0.7,0,0,0,0.6,,,,1.2,,69.3,,76
Meru,,69.7,0.7,0,3.3,31.3,22.9,9.7,0.1,0,0.3,0,0,,,,1.6,,24,,569
Tharaka-Nithi,,67.9,3,0,4.5,31.3,19.5,7.3,1.7,0,0,0.3,0.3,,,,1.8,,25.3,,171
Embu,,75.2,1.8,0,7.5,21.1,19.6,22.9,0.5,0,0,1.7,0.1,,,,0.6,,18.3,,214
Kitui,,62.4,1.2,0,1,35.2,16.3,4.8,0.7,0,2.4,0.7,0,,,,3.2,,31.7,,449
Machakos,,66.4,3.4,0,4.9,26.5,13.4,16,1.9,0,0.2,0.3,0,,,,0.6,,23.7,,553
Makueni,,64.4,4.4,0,2.9,24.8,19.6,10.2,1.5,0,0,0.1,0.7,,,,0.8,,26.7,,366
Nyandarua,,66.7,2.3,0,12.2,22.9,13.1,12,2.5,0,0,0.1,1.1,,,,0.4,,28.6,,225
Nyeri,,70.5,3.7,0,18.8,16.9,12.6,15.7,1.5,0,0,0,1.3,,,,2.3,,19,,254
Kirinyaga,,70.8,0.8,0,15.4,17.5,16.2,19,1.4,0,0.3,0,0.2,,,,0.6,,23.4,,253
Murangï¿½a,,67.3,1.4,0,7,17.4,14.9,20.4,1.9,0,1.3,0.7,2.2,,,,0,,27.3,,344
Kiambu,,68.2,2.5,0,9.7,14.7,22.5,16.8,0.6,0,0,0.6,0.7,,,,1,,22.6,,"1,116"
Turkana,,30.7,1.3,0,0,9.3,5.7,0.3,0.2,0,0.2,0.5,13.2,,,,0.8,,56.2,,204
West Pokot,,23.2,0.9,0,0.2,8.3,11.7,1.6,0.1,0,0,0,0.4,,,,0,,76.5,,264
Samburu,,25.4,0.3,0,2.8,8.3,10.6,2.3,0.2,0,0,0,0.9,,,,2.2,,66.3,,106
Trans Nzoia,,65.4,3,0,2.2,24.4,27,4.9,1.5,0,0.1,1,1.2,,,,0.6,,30.2,,361
Uasin Gishu,,62.7,1.5,0,5.8,22.9,23.2,5.7,1.8,0,0.5,0,1.2,,,,1.8,,28.9,,525
Elgeyo/Marakwet,,59,3.4,0,2.8,24.4,20.4,3,2.2,0.2,0.8,0.1,1.7,,,,4.1,,25.7,,143
Nandi,,60,1.6,0,0.2,29.8,21,3.4,3,0,0.3,0.2,0.5,,,,1,,34.4,,327
Baringo,,47.7,0.5,0,3.3,16.6,17.8,3.8,1.4,0,0.3,0.6,3.5,,,,1,,42.2,,200
Laikipia,,64.5,4.5,0,6.9,24,15,12.1,1.2,0,0.5,0,0.4,,,,0.5,,27.7,,161
Nakuru,,66.6,3.2,0,7.4,23.5,18.5,8.6,2,0,0.5,1.2,1.7,,,,1.6,,27.5,,906
Narok,,52.2,1.6,0,1,16.5,24.5,1.8,0.8,0,0,1.5,4.5,,,,6.2,,34.8,,444
Kajiado,,57.3,1.1,0,7.6,21.9,12.9,10.5,2.1,0,0.4,0,0.5,,,,2.9,,36.1,,520
Kericho,,60,2.8,0,1.6,20.8,29.6,3.5,1.1,0,0,0,0.6,,,,0.3,,39.8,,395
Bomet,,57.8,8.3,0,1.2,22.6,21.3,2.2,0.7,0,0.6,0,0.8,,,,0.3,,36.1,,351
Kakamega,,63.4,4.1,0,2.9,25,26.4,2.8,1.6,0,0,0.3,0,,,,0.5,,33.3,,715
Vihiga,,60.1,3.3,0,2.1,15.1,34.6,4.1,0.8,0,0,0,0,,,,0.3,,37.6,,171
Bungoma,,63.7,3.4,0.3,1.7,23.4,26.8,4.3,1.4,0.3,0.3,1.6,0.3,,,,1.1,,34,,614
Busia,,55.4,5.1,0.3,3.2,14.1,27.6,1.4,2.4,0,0.3,0.4,0.6,,,,0,,43.6,,360
Siaya,,42.9,2.2,0,0.5,15.6,17,3.7,3.6,0,0.3,0,0,,,,0.1,,56.5,,299
Kisumu,,56.6,0.7,0,1.7,19.1,25,4.3,4,0,0.3,0.8,0.6,,,,0.3,,40,,413
Homa Bay,,54.3,3.6,0,0.7,20.7,20.9,1.8,6.6,0,0,0,0,,,,0.7,,43.2,,391
Migori,,54.7,2.5,0,2.1,15.9,28,1.2,4.1,0.4,0,0,0.3,,,,0.2,,39.8,,397
Kisii,,63.5,3.2,0,3.5,26.4,19.9,5.8,1.4,0,0.2,2.1,1.1,,,,0.5,,31.9,,470
Nyamira,,64.8,5.3,0,1.8,33.7,18.3,2.7,1.3,0,0.3,0.6,0.7,,,,0.5,,32.1,,178
Nairobi City,,56.2,1.3,0,6.3,14.4,12.9,16.4,3.1,0,1,0,0.8,,,,1.7,,37.5,,2195
